#,Investor Name,HQ Country,HQ City,Latitude,Longitude,Closest FUA
256,NAStartUp,Italy,Naples,40.8358846,14.2487679,Napoli
257,NCA,Germany,Hamburg,53.550341,10.000654,Hamburg
258,NCI,France,Rouen,49.4404591,1.0939658,Rouen
259,NDRC,Ireland,Dublin,53.3493795,-6.2605593,Dublin
261,Next Big Thing AG,Germany,Berlin,52.510885,13.3989367,Berlin
263,NMA.vc,Germany,Hamburg,53.550341,10.000654,Hamburg
264,Nordic XR Startups,Finland,Helsinki,60.1674881,24.9427473,Helsinki/Helsingfors
265,Norrsken Impact Accelerator,Sweden,Stockholm,59.3251172,18.0710935,Stockholm
266,NUMA,France,Paris,48.8534951,2.3483915,Paris
267,OSS VENTURES,France,Paris,48.8534951,2.3483915,Paris
268,Overkill Ventures,Latvia,Riga,56.9493977,24.1051846,Riga
269,Paralect Accelerator,Poland,Warsaw,52.2319581,21.0067249,Warszawa
270,Paris&Co,France,Paris,48.8534951,2.3483915,Paris
271,PARSEC Accelerator,Belgium,Brussels,50.8465573,4.351697,Mechelen
272,PHINEO Startups,Germany,Berlin,52.510885,13.3989367,Berlin
273,Plant 4.0 Team,France,Paris,48.8534951,2.3483915,Paris
275,Platform6,Finland,Tampere,61.4980214,23.7603118,Tampere/Tammerfors
276,PlayStation Talents Games C…,Spain,Bilbao,43.2630018,-2.9350039,Bilbao
277,Pole Capital,France,Paris,48.8534951,2.3483915,Paris
278,Polihub,Italy,Milan,45.4641943,9.1896346,Milano
280,Profund Innovation - Startu…,Germany,Berlin,52.510885,13.3989367,Berlin
281,ProSiebenSat.1 Accelerator,Germany,Munich,48.1371079,11.5753822,München
282,Protechting,Portugal,Lisbon,38.7077507,-9.1365919,Lisboa
283,Prototron,Estonia,Tallinn,59.4372155,24.7453688,Tallinn
284,ProVeg,Germany,Berlin,52.510885,13.3989367,Berlin
285,ProVeg Incubator,Germany,Berlin,52.510885,13.3989367,Berlin
287,RAISE Sherpas,France,Paris,48.8534951,2.3483915,Paris
288,REAKTOR.BERLIN,Germany,Berlin,52.510885,13.3989367,Berlin
289,Red Electrica - GRID2030,Spain,Madrid,40.4167047,-3.7035825,Madrid
290,RESPOND Accelerator,Germany,Munich,48.1371079,11.5753822,München
291,RootCamp - A SpinLab Incu…,Germany,Hanover,52.3744779,9.7385532,Hannover
293,Ruhr:Hub,Germany,Essen,51.4582235,7.0158171,Ruhrgebiet
294,RWTH Aachen Incubator,Germany,Aachen,50.776351,6.083862,Aachen
295,Sacyr iChallenges,Spain,Madrid,40.4167047,-3.7035825,Madrid
296,Salesbridge Co.,Poland,Warsaw,52.2319581,21.0067249,Warszawa
297,Sampo Accelerator,Finland,Espoo,60.2049651,24.6559808,Helsinki/Helsingfors
298,Sanitas Disruptive,Spain,Madrid,40.4167047,-3.7035825,Madrid
299,Santalucía IMPULSA,Spain,Madrid,40.4167047,-3.7035825,Madrid
300,Sap.iO,Germany,Munich,48.1371079,11.5753822,München
301,Sardegna Ricerche,Italy,Pula,39.007433,9.001646,Cagliari
302,Scal'E-nov,France,Mulhouse,47.7467233,7.3389937,Mulhouse
304,Seed Starter SK,Slovakia,Bratislava,48.1516988,17.1093063,Bratislava
305,SeedRocket,Spain,Barcelona,41.3828939,2.1774322,Barcelona
306,Segulah Medical,Sweden,Stockholm,59.3251172,18.0710935,Stockholm
307,SEK Lab EdTech Accelerator,Spain,Madrid,40.4167047,-3.7035825,Madrid
308,SEMIA,France,Strasbourg,48.584614,7.7507127,Strasbourg
309,SenseCube,France,Paris,48.8534951,2.3483915,Paris
310,Ship2B Foundation,Spain,Barcelona,41.3828939,2.1774322,Barcelona
311,Siemens Technology Acceler…,Germany,Munich,48.1371079,11.5753822,München
312,SmartAgriFood,Belgium,Brussels,50.8465573,4.351697,Mechelen
314,SmiLe Incubator,Sweden,Lund,55.7029296,13.1929449,Malmö
315,SocialFare,Italy,Turin,45.0677551,7.6824892,Torino
316,SocialFare Seed,Italy,Turin,45.0677551,7.6824892,Torino
317,SoftBank Emerge Accelerator,France,Paris,48.8534951,2.3483915,Paris
318,SOUL-FI,Portugal,Coimbra,40.2111931,-8.4294632,Coimbra
320,Space Academy,Spain,Malaga,36.7213028,-4.4216366,Málaga
321,Space3ac,Poland,Gdansk,54.3706858,18.6129831,Gdańsk
322,SpaceFounders,France,Toulouse,43.6044622,1.4442469,Toulouse
323,Spain Foodtech,Spain,Madrid,40.4167047,-3.7035825,Madrid
324,SpeedUP! Europe,Germany,Schleswig,54.51851,9.5653284,Flensburg
325,Spherik Accelerator,Romania,Cluj-Napoca,46.769379,23.5899542,Cluj-Napoca
326,SpinLab,Germany,Leipzig,51.3406321,12.3747329,Leipzig
327,Spinoutlab,Finland,Tampere,61.4980214,23.7603118,Tampere/Tammerfors
328,STARBUZZ,Germany,Mülheim an…,51.4272925,6.8829192,Ruhrgebiet
329,Start it @KBC,Belgium,Leuven,50.879202,4.7011675,Bruxelles/Brussel/Leuven
330,Starter Business Acceleration,Portugal,Lisbon,38.7077507,-9.1365919,Lisboa
332,StartinLV,Latvia,Riga,56.9493977,24.1051846,Riga
334,Startport,Germany,Duisburg,51.434999,6.759562,Krefeld
335,StartSmart CEE,Poland,Warsaw,52.2319581,21.0067249,Warszawa
336,StartUp Alcobendas,Spain,Madrid,40.4167047,-3.7035825,Madrid
337,Startup Autobahn,Germany,Stuttgart,48.7784485,9.1800132,Stuttgart
338,Startup Braga,Portugal,Braga,41.5510583,-8.4280045,Braga
339,Startup Creasphere,Germany,Munich,48.1371079,11.5753822,München
340,Startup Incubator Berlin,Germany,Berlin,52.510885,13.3989367,Berlin
341,Startup Lisboa,Portugal,Lisbon,38.7077507,-9.1365919,Lisboa
342,Startup Live,Austria,Vienna,48.2083537,16.3725042,Wien
344,StartUp Sintra,Portugal,Lisbon,38.7077507,-9.1365919,Lisboa
345,Startup Spark,Poland,Łódź,51.7687323,19.4569911,Łódź
346,Startup Valencia,Spain,Valencia,39.4697065,-0.3763353,Valencia
347,Startup Wise Guys,Estonia,Tallinn,59.4372155,24.7453688,Tallinn
348,Startup300,Austria,Linz,48.3059078,14.286198,Linz
350,Startupgym,Italy,Milan,45.4641943,9.1896346,Milano
352,STING,Sweden,Stockholm,59.3251172,18.0710935,Stockholm
353,Sting,Sweden,Stockholm,59.3251172,18.0710935,Stockholm
354,Sting bio economy,Sweden,Karlstad,59.3809146,13.5027631,Örebro
355,Strascheg Center for Entrepr…,Germany,Munich,48.1371079,11.5753822,München
356,Strascheg Center for Entrepr…,Germany,Munich,48.1371079,11.5753822,München
357,Take Off,Italy,Milan,45.4641943,9.1896346,Milano
358,Takeoff Accelerator,Italy,Turin,45.0677551,7.6824892,Torino
359,Tec Labs,Portugal,Lisbon,38.7077507,-9.1365919,Lisboa
360,Techcelerator.ro,Romania,Bucharest,44.4361414,26.1027202,Bucureşti
361,TechFounders,Germany,Munich,48.1371079,11.5753822,München
362,Techno'Start,France,Mérignac,44.842168,-0.6469022,Bordeaux
363,TechnoFounders,France,Paris,48.8534951,2.3483915,Paris
365,TechQuartier,Germany,Frankfurt,50.1106444,8.6820917,Frankfurt am Main
366,Techstars Berlin,Germany,Berlin,52.510885,13.3989367,Berlin
367,Techstars Paris,France,Paris,48.8534951,2.3483915,Paris
368,TECNALIA Ventures,Spain,Derio,43.2907714,-2.8870439,Bilbao
369,Terkko Health Hub,Finland,Helsinki,60.1674881,24.9427473,Helsinki/Helsingfors
370,Terra Next Accelerator,Italy,Milan,45.4641943,9.1896346,Milano
371,Tesonet,Lithuania,Vilnius,54.6870458,25.2829111,Vilnius
372,Tetuan Valley,Spain,Madrid,40.4167047,-3.7035825,Madrid
373,The Blue Minds Company,Austria,Vienna,48.2083537,16.3725042,Wien
374,The Collider,Spain,Barcelona,41.3828939,2.1774322,Barcelona
375,The Delta,Germany,Berlin,52.510885,13.3989367,Berlin
376,The Faktory,Belgium,Liège,50.6450944,5.5736112,Liège
378,The Qube Accelerator,Italy,Lecce,40.1522173,18.2260628,Lecce
379,Thinkubator,Denmark,Copenhagen,55.6867243,12.5700724,København
381,Toscana Life Sciences,Italy,Siena,43.1672059,11.467561,Arezzo
382,TU Wien Innovation Incubat…,Austria,Vienna,48.2083537,16.3725042,Wien
383,Turbiini,Finland,Vantaa,60.2933337,25.0407809,Helsinki/Helsingfors
384,UCD VentureLaunch Acceler…,Ireland,Dublin,53.3493795,-6.2605593,Dublin
385,Uminova Innovation,Sweden,Umeå,63.8256568,20.2630745,Umeå
386,UniCredit Start Lab FinTech …,Italy,Milan,45.4641943,9.1896346,Milano
387,Universidade De Aveiro Incu…,Portugal,Ílhavo,40.6001108,-8.6666667,Aveiro
388,Universidade de Aveiro Incu…,Portugal,Ílhavo,40.6001108,-8.6666667,Aveiro
391,UPTEC – Science and Techn…,Portugal,Porto,41.1494512,-8.6107884,Porto
392,Venture Basecamp,Germany,Munich,48.1371079,11.5753822,München
393,Vertical Health Accelerator,Finland,Helsinki,60.1674881,24.9427473,Helsinki/Helsingfors
394,Vertical.vc,Finland,Helsinki,60.1674881,24.9427473,Helsinki/Helsingfors
395,Vision Health Pioneers,Germany,Berlin,52.510885,13.3989367,Berlin
396,VITA Accelerator,Italy,"Salerno, Italy",40.67545,14.79328,Battipaglia
397,Vittoria Hub,Italy,Milan,45.4641943,9.1896346,Milano
